front,back,chapter,LO
Los 7 principios de testing (principio 1),"Testing shows the presence of defects, NOT their absence",1,1.3.1
Los 7 principios de testing (principio 2),Exhaustive testing is IMPOSSIBLE,1,1.3.1
Los 7 principios de testing (principio 3),Early testing saves time and money,1,1.3.1
Los 7 principios de testing (principio 4),Defects cluster together (Pareto: 80% bugs en 20% del código),1,1.3.1
Los 7 principios de testing (principio 5),Beware the pesticide paradox (mismos tests dejan de encontrar bugs),1,1.3.1
Los 7 principios de testing (principio 6),Testing is context-dependent,1,1.3.1
Los 7 principios de testing (principio 7),Absence-of-errors is a fallacy (sin bugs ≠ software bueno),1,1.3.1
Error vs Defect vs Failure,Error = mistake humano; Defect = imperfección en código; Failure = comportamiento visible,1,1.2.3
Root cause,Razón FUNDAMENTAL que origina el error (no el síntoma),1,1.2.3
Whole team approach,"Calidad es responsabilidad de TODO el equipo, no solo de testers",1,1.5.2
Independence of testing,"Separación entre quien escribe y quien testea código (a mayor independencia, mejor detección)",1,1.5.3
Testing vs QA,QA = enfoque planificado/proactivo de procesos; Testing = actividad de QC que verifica calidad,1,1.2.2
Testware,"Artefactos producidos durante testing (test plan, cases, scripts, data, reports, logs)",1,1.4.3
Traceability,Vínculo entre requisitos ↔ test cases ↔ defects ↔ riesgos,1,1.4.4
Shift-left (NUEVO v4.0),Mover testing lo más temprano posible en el ciclo SDLC,2,2.1.5
DevOps impact (NUEVO v4.0),"Testing continuo integrado en CI/CD pipeline, monitoreo en producción",2,2.1.4
Retrospectives (NUEVO v4.0),Mecanismo de mejora continua del proceso de testing al final de cada iteración,2,2.1.6
Test-first approaches (NUEVO),"TDD (dev), ATDD (equipo), BDD (lenguaje natural given-when-then)",2,2.1.3
Los 4 niveles de testing,"Component, Integration, System, Acceptance",2,2.2.1
Component testing,"Tests unitarios aislados, owner=developer",2,2.2.1
Component integration testing (NUEVO énfasis),"Tests del componente vs infraestructura externa (DB, FS, servicios)",2,2.2.1
Integration testing,Tests entre componentes / sistemas. Owner: dev o tester,2,2.2.1
System testing,Test del sistema integrado completo. Owner: independiente,2,2.2.1
Acceptance testing,"User (UAT), Operational (OAT), Contractual, Regulatory, Alpha, Beta",2,2.2.1
Functional testing,QUÉ hace el sistema (cumple requisitos funcionales),2,2.2.2
Non-functional testing,"CÓMO de bien lo hace (performance, security, etc.)",2,2.2.2
ISO 25010:2023 - 8 characteristics,"Functional, Performance efficiency, Compatibility, Interaction capability, Reliability, Security, Maintainability, Flexibility (+ Safety)",2,2.2.2
Interaction capability (antes Usability),Capacidad de uso por usuarios específicos ISO 25010:2023,2,2.2.2
Flexibility (antes Portability),Capacidad de transferirse entre ambientes ISO 25010:2023,2,2.2.2
Safety (NUEVO ISO 25010:2023),Operar sin causar daño a personas/datos,2,2.2.2
Confirmation testing,Verifica que UN bug específico está fixed (re-test),2,2.2.3
Regression testing,Verifica que cambios NO rompieron nada más (suite completa),2,2.2.3
Maintenance testing triggers,"Migration, retirement, nuevos environments",2,2.3.1
Static vs Dynamic testing,"Static = NO ejecuta el software (revisiones, análisis); Dynamic = SÍ ejecuta",3,3.1.3
Work products que pasan static testing,"Requisitos, diseño, código, casos de prueba, contratos",3,3.1.1
Tipo de review MÁS formal,"Inspection (roles definidos, métricas, proceso formal)",3,3.2.4
Walkthrough,"Review informal, dirigida por el AUTOR",3,3.2.4
Roles en review,"Author, Moderator, Reviewer, Scribe, Manager",3,3.2.3
Inspection benefits,Roles formales + métricas + proceso estructurado + early detection,3,3.2.4
3 familias de técnicas testing,"Black-box, White-box, Experience-based (+ Collaboration-based NUEVO)",4,4.1.1
Equivalence Partitioning (EP),Dividir input en grupos que se comportan igual. 1 valor por partición basta,4,4.2.1
BVA - Boundary Value Analysis,Tests en bordes (límites) entre particiones. 2-value o 3-value,4,4.2.2
Decision Table Testing,Combinaciones de condiciones → acciones. Útil con lógica compleja,4,4.2.3
State Diagram (antes state transition diagram),Estados + eventos + transiciones + acciones,4,4.2.4
Statement coverage,% statements ejecutados al menos una vez,4,4.3.1
Branch coverage,% branches evaluados a true y false (>= statement coverage),4,4.3.2
White-box testing,Basado en estructura interna del código,4,4.3.3
Error guessing,Tester adivina dónde habría bugs basándose en experiencia,4,4.4.1
Exploratory testing,Diseño + ejecución + aprendizaje en paralelo. Charter + timebox + notas,4,4.4.2
Checklist-based testing,Listas de verificación predefinidas,4,4.4.3
User story format,"Como <rol>, quiero <acción>, para <beneficio>",4,4.5.1
INVEST criteria,"Independent, Negotiable, Valuable, Estimable, Small, Testable",4,4.5.1
Acceptance criteria formatos,"Given-When-Then, Checklist, Scenario-based",4,4.5.2
ATDD = Acceptance Test-Driven Development,Equipo (dev+test+business) escribe acceptance tests ANTES del código,4,4.5.3
TDD vs ATDD,TDD=unit-level developer solo; ATDD=acceptance-level equipo (3 amigos),4,4.5.3
Entry criteria,Condiciones ANTES de empezar testing,5,5.1.3
Exit criteria,Condiciones ANTES de cerrar testing. NO sinónimo de entry,5,5.1.3
Test pyramid (NUEVO v4.0),"Muchos unit tests abajo, pocos UI/E2E arriba (~70/20/10)",5,5.1.6
Testing quadrants (NUEVO v4.0),Q1 functional business-facing; Q2 functional tech-facing; Q3 non-func business; Q4 non-func tech,5,5.1.7
Risk level = likelihood × impact,Producto de probabilidad e impacto,5,5.2.1
Project risks,Afectan schedule/coste/calidad del PROYECTO,5,5.2.2
Product risks,Afectan calidad del PRODUCTO final,5,5.2.2
